               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,             0.01649,           0.0093915,            0.002832,             0.92821,             0.91614,             0.95331,             0.83616,            0.008712,           0.0046641,           0.0024809,            0.003664,            0.003664,            0.003664
                  66,            0.016102,           0.0093251,           0.0022746,             0.99872,             0.84398,              0.9546,              0.8197,           0.0092899,           0.0053772,           0.0029836,            0.003565,            0.003565,            0.003565
                  67,            0.015518,           0.0091101,           0.0017781,             0.98244,             0.85582,              0.9439,             0.83008,           0.0088015,            0.004993,           0.0025046,            0.003466,            0.003466,            0.003466
                  68,            0.016244,           0.0087727,           0.0015364,             0.96604,             0.86569,             0.94987,             0.83974,           0.0084823,           0.0047663,           0.0023304,            0.003367,            0.003367,            0.003367
                  69,            0.016013,           0.0085087,           0.0024541,             0.98874,               0.854,              0.9418,             0.80923,           0.0095345,           0.0050281,           0.0023533,            0.003268,            0.003268,            0.003268
                  70,            0.015931,           0.0089354,           0.0033647,             0.98767,             0.85332,             0.93213,             0.79495,            0.010109,           0.0049086,           0.0017574,            0.003169,            0.003169,            0.003169
                  71,            0.014633,           0.0083626,           0.0024939,             0.95258,             0.86621,             0.93722,             0.81167,           0.0089082,           0.0050238,            0.001986,             0.00307,             0.00307,             0.00307
                  72,            0.014699,           0.0085035,           0.0018795,              0.9962,             0.86797,             0.94592,             0.83797,           0.0090227,           0.0047842,           0.0021968,            0.002971,            0.002971,            0.002971
                  73,            0.014636,           0.0084381,           0.0013778,             0.95089,             0.87035,             0.94324,             0.78753,           0.0084212,           0.0044802,           0.0025419,            0.002872,            0.002872,            0.002872
                  74,            0.015067,           0.0085556,           0.0027493,             0.92117,             0.86946,             0.92523,             0.72336,            0.010987,           0.0062958,           0.0024002,            0.002773,            0.002773,            0.002773
                  75,            0.014794,           0.0083418,           0.0011035,              0.9062,             0.91598,             0.94801,             0.82537,           0.0079537,           0.0046347,           0.0024847,            0.002674,            0.002674,            0.002674
                  76,             0.01399,           0.0082547,           0.0020997,              0.9817,             0.86805,             0.95422,             0.84686,            0.007745,           0.0039958,           0.0016787,            0.002575,            0.002575,            0.002575
                  77,             0.01403,           0.0082193,           0.0017744,             0.92737,                 0.9,               0.956,             0.83584,           0.0079896,           0.0045431,           0.0016386,            0.002476,            0.002476,            0.002476
                  78,            0.013595,           0.0080596,           0.0013236,             0.95541,             0.88624,             0.95447,             0.85693,           0.0080445,           0.0046979,           0.0015008,            0.002377,            0.002377,            0.002377
                  79,            0.014019,           0.0083492,           0.0017967,             0.91763,             0.91165,               0.953,              0.8526,           0.0077864,           0.0048128,           0.0014431,            0.002278,            0.002278,            0.002278
